subregion,country_iso3
Eastern Africa,BDI
Eastern Africa,COM
Eastern Africa,DJI
Eastern Africa,ERI
Eastern Africa,ETH
Eastern Africa,KEN
Eastern Africa,MDG
Eastern Africa,MOZ
Eastern Africa,MUS
Eastern Africa,MWI
Western Africa,GNB
Eastern Africa,RWA
Eastern Africa,SOM
Eastern Africa,SSD
Eastern Africa,SYC
Eastern Africa,TZA
Eastern Africa,UGA
Eastern Africa,ZMB
Eastern Africa,ZWE
Middle Africa,AGO
Middle Africa,CAF
Middle Africa,CMR
Middle Africa,COD
Middle Africa,COG
Middle Africa,GAB
Middle Africa,GNQ
Middle Africa,TCD
Middle Africa,STP
Northern Africa,DZA
Northern Africa,EGY
Northern Africa,LBY
Northern Africa,MAR
Northern Africa,SDN
Northern Africa,TUN
Southern Africa,BWA
Southern Africa,LSO
Southern Africa,NAM
Southern Africa,SWZ
Southern Africa,ZAF
Western Africa,BEN
Western Africa,BFA
Western Africa,CPV
Western Africa,CIV
Western Africa,GHA
Western Africa,GIN
Western Africa,GMB
Western Africa,LBR
Western Africa,MLI
Western Africa,MRT
Western Africa,NER
Western Africa,NGA
Western Africa,SEN
Western Africa,SLE
Western Africa,TGO